Date,Open,High,Low,Close,Adj Close,Volume
2020-09-23,491.040009,491.040009,469.000000,470.609985,470.609985,3726400
2020-09-24,470.529999,477.000000,467.820007,473.079987,473.079987,3727200
2020-09-25,474.390015,484.869995,468.029999,482.880005,482.880005,3769400
2020-09-28,489.109985,492.000000,477.880005,490.649994,490.649994,4773500
2020-09-29,489.500000,496.290009,486.529999,493.480011,493.480011,3541500
2020-09-30,492.570007,504.630005,489.269989,500.029999,500.029999,4634100
2020-10-01,506.029999,529.549988,503.600006,527.510010,527.510010,8153700
2020-10-02,516.429993,526.369995,502.700012,503.059998,503.059998,6071200
2020-10-05,506.799988,520.989990,501.700012,520.650024,520.650024,4088100
2020-10-06,518.719971,521.820007,504.160004,505.869995,505.869995,4199000
2020-10-07,518.000000,536.489990,515.820007,534.659973,534.659973,7988700
2020-10-08,533.479980,535.000000,524.150024,531.789978,531.789978,5386500
2020-10-09,537.830017,544.280029,535.000000,539.440002,539.440002,4781300
2020-10-12,548.809998,551.809998,538.239990,539.809998,539.809998,5391100
2020-10-13,540.559998,557.650024,537.200012,554.090027,554.090027,5602500
2020-10-14,562.609985,572.489990,541.000000,541.450012,541.450012,9499000
2020-10-15,545.520020,551.219971,535.099976,541.940002,541.940002,5113100
2020-10-16,549.500000,554.330017,530.030029,530.789978,530.789978,6347400
2020-10-19,537.070007,541.799988,525.380005,530.719971,530.719971,7567500
2020-10-20,528.140015,533.780029,522.260010,525.419983,525.419983,10047200
2020-10-21,501.029999,506.850006,488.250000,489.049988,489.049988,17405700
2020-10-22,494.690002,495.140015,482.000000,485.230011,485.230011,6997900
2020-10-23,488.109985,490.059998,481.350006,488.279999,488.279999,4927900
2020-10-26,487.029999,496.820007,478.899994,488.239990,488.239990,6186100
2020-10-27,490.010010,490.489990,482.929993,488.929993,488.929993,3627200
2020-10-28,486.359985,494.000000,483.279999,486.239990,486.239990,5992700
2020-10-29,488.500000,513.900024,479.339996,504.209991,504.209991,11120700
2020-10-30,502.010010,505.880005,472.209991,475.739990,475.739990,7807900
2020-11-02,478.869995,486.299988,475.000000,484.119995,484.119995,4408200
2020-11-03,484.929993,495.309998,478.760010,487.220001,487.220001,3690200
2020-11-04,495.359985,507.730011,493.980011,496.950012,496.950012,5137300
2020-11-05,506.559998,518.729980,503.450012,513.760010,513.760010,5372800
2020-11-06,515.000000,515.210022,502.510010,514.729980,514.729980,4236300
2020-11-09,485.540009,495.850006,467.260010,470.500000,470.500000,10419700
2020-11-10,470.950012,484.600006,463.410004,480.239990,480.239990,8306100
2020-11-11,483.000000,491.679993,478.260010,490.760010,490.760010,5460500
2020-11-12,491.000000,496.519989,480.429993,486.769989,486.769989,5063700
2020-11-13,486.769989,488.940002,477.799988,482.839996,482.839996,3002700
2020-11-16,480.000000,485.579987,477.299988,479.100006,479.100006,3953600
2020-11-17,480.119995,487.510010,478.850006,480.630005,480.630005,3698100
